SampleName,lambda_abs,lambda_em,molecule,solvent
01a1_WB97XD_Chloroform,484,596,CNc1cc(C(=O):OC)c(NC)cc1C(=O):OC,CCl3
01ANGEW-01_WB97XD_Cyclohexane,331,310,CC(C)=Cc1cc(N2CCCCC2)c(C=C(C)C)cc1N1CCCCC1,C1CCCC1
01ANGEW-02_WB97XD_Cyclohexane,351,320,C=Cc1cc(N2CCCCC2)c(C=C)cc1N1CCCCC1,C1CCCC1
01ANGEW-03_WB97XD_Cyclohexane,380,360,FC(F)(F)/C=C/c1cc(N2CCCCC2)c(/C=C/C(F)(F)F)cc1N1CCCCC1,C1CCCC1
01ANGEW-04_WB97XD_Cyclohexane,410,360,CCO:C(=O)/C=C/c1cc(N2CCCCC2)c(/C=C/C(=O):OCC)cc1N1CCCCC1,C1CCCC1
01ANGEW-05_WB97XD_Cyclohexane,425,365,CC(=O)/C=C/c1cc(N2CCCCC2)c(/C=C/C(C)=O)cc1N1CCCCC1,C1CCCC1
01ANGEW_1_WB97XD_Chloroform,393,482,CC(=O)c1cc(N:C(=O)CCl)c(C(C)=O)cc1N:C(=O)CCl,CCl3
01ANGEW_2_WB97XD_Chloroform,389,478,CC(=O)c1cc(N:C(=O)C(Cl)Cl)c(C(C)=O)cc1N:C(=O)C(Cl)Cl,CCl3
01ANGEW_3_WB97XD_Chloroform,385,579,CC(=O)c1cc(N:C(=O)C(Cl)(Cl)Cl)c(C(C)=O)cc1N:C(=O)C(Cl)(Cl)Cl,CCl3
01ANGEW_4_WB97XD_Chloroform,379,584,CC(=O)c1cc(N:C(=O)C(F)(F)F)c(C(C)=O)cc1N:C(=O)C(F)(F)F,CCl3
01ANGEW_5_WB97XD_Chloroform,381,583,CC(=O)c1cc(N:C(=O)C(F)(F)C(F)(F)F)c(C(C)=O)cc1N:C(=O)C(F)(F)C(F)(F)F,CCl3
01ANGEW_6_WB97XD_Chloroform,381,584,CC(=O)c1cc(N:C(=O)C(F)(F)C(F)(F)C(F)(F)F)c(C(C)=O)cc1N:C(=O)C(F)(F)C(F)(F)C(F)(F)F,CCl3
01b1_WB97XD_Chloroform,485,599,CCNc1cc(C(=O):OC)c(NCC)cc1C(=O):OC,CCl3
01BMeS-p-A_WB97XD_THF,384,490,CS(=O)(=O)c1cc(N)c(S(C)(=O)=O)cc1N,C1CCOC1
01Bule1a_WB97XD_dichloromethane,329,386,,ClC(Cl)H
01c1_WB97XD_Chloroform,490,606,CO:C(=O)c1cc(NC(C)C)c(C(=O):OC)cc1NC(C)C,CCl3
01CAJ-11_WB97XD_DMSO,376,440,CCN(CC)C1=C=C(F)C([N+](=O)[O-])=C=C1[N+](=O)[O-],CS(=O)C
01CAJ-13_WB97XD_DMSO,395,468,CCNc1c(F)c(C#N)c(F)c(F)c1C#N,CS(=O)C
01CAJ-14_WB97XD_DMSO,398,441,CCN(CC)c1c(F)c(C#N)c(F)c(F)c1C#N,CS(=O)C
01CAJ-15_WB97XD_DMSO,402,553,N#Cc1c(F)c(F)c(C#N)c(N2CCCCC2)c1F,CS(=O)C
01CAJ-16_WB97XD_DMSO,364,439,,CS(=O)C
01CAJ-17_WB97XD_DMSO,425,487,,CS(=O)C
01CAJ-18a_WB97XD_DMSO,394,469,N#Cc1c(F)c(F)c(C#N)c(NCCO)c1F,CS(=O)C
01CAJ-18b_WB97XD_DMSO,395,468,N#Cc1c(F)c(F)c(C#N)c(NCCc2ccccc2)c1F,CS(=O)C
01CAJ-18c_WB97XD_DMSO,386,451,CO:C(=O)CNc1c(F)c(C#N)c(F)c(F)c1C#N,CS(=O)C
01CAJ-20_WB97XD_DMSO,338,417,N#Cc1c(F)c(F)c(F)c(NCCO)c1C#N,CS(=O)C
01CAJ-21_WB97XD_DMSO,405,469,,CS(=O)C
01CAJ-22a_WB97XD_DMSO,410,519,N#Cc1c(F)c(F)c(C#N)c(NCCO)c1NCCO,CS(=O)C
01CAJ-23a_WB97XD_DMSO,407,517,CC(=O)OCCNc1c(C#N)c(F)c(F)c(C#N)c1NCCO,CS(=O)C
01CAJ-25_WB97XD_DMSO,397,466,,CS(=O)C
01CC-1_WB97XD_Dichloromethane,385,551,CCO:C(=O)c1cc(N(C)C)c(C(=O):OCC)cc1N(C)C,ClC(Cl)H
01CC-2_WB97XD_Dichloromethane,390,566,CCO:C(=O)c1cc(N(C)C)c(C(=O):OCC)cc1NC,ClC(Cl)H
01CEJ_03_WB97XD_Chloroform,455,558,C[C@@H]1c2c(C=O)c3c(c(C=O)c2OC1(C)C)[C@H](C)C(C)(C)O3,CCl3
01CEJ_11_WB97XD_Chloroform,394,475,C[C@@H]1c2c(c(C(=O):O)c3c(c2C(=O):O)OC(C)(C)[C@H]3C)OC1(C)C,CCl3
01CEJ_12_WB97XD_Chloroform,376,465,CO:C(=O)c1c2c(c(C(=O):OC)c3c1[C@@H](C)C(C)(C)O3)[C@H](C)C(C)(C)O2,CCl3
01CEJ_13_WB97XD_Chloroform,410,515,CC(=O)c1c2c(c(C(C)=O)c3c1[C@@H](C)C(C)(C)O3)[C@H](C)C(C)(C)O2,CCl3
