ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var,abs,dft,Solvent
12.54,10.26,8.4,11.77,10.7425,1.581682253,34,252.26691,-0.237893,67,-0.001034,0.236859,20,6.779,4.19,11.591,13.128,0.454114636,0.968284408,0.433361,1.790459,6.10E-05,22.973237,0.0037,2018.37231,1.4006,-33.0107,19.8929,1029.76738,548.96961,480.79777,-0.0027933,0.01408763,-0.02206776,0.0002191,0.18699404,0.01808247,0.48473121,48.74,51.26,10.56473,17.46739,0.51275976,0.00219564,-38.60181,-13.27894,-0.8236484,0.040518,484,452.81,4.4
6.83,8.02,7.12,11,8.2425,1.651399028,62,352.55694,-0.237602,97,0.039358,0.27696,37,7.162,6.363,13.715,14.074,0.412098852,0.982546775,1.097995,3.958997,0.001387,11.734782,0.0276,3369.99012,1.1723,-25.32122,9.80676,1533.68686,983.71829,549.96856,-0.00062478,0.00610126,-0.01265552,0.0001503,0.08249094,0.00864661,0.22997886,88.43,11.57,10.11785,15.6215,0.49158918,0.00105259,-31.42855,-13.91877,-0.7760205,0.028631,331,324,0.1
8.91,8.54,8.15,11.74,9.335,1.41429311,50,296.45047,-0.244263,81,0.024471,0.268734,37,7.165,6.42,11.991,14.296,0.437092977,0.997627355,1.018741,4.119716,0.001131,12.069791,0.0606,2774.5517,1.1973,-22.2021,10.99865,1273.85489,823.78619,450.0687,-0.0002815,0.00732239,-0.01419932,0.00012233,0.11808413,0.0098366,0.26536803,83.89,16.11,10.16596,15.77627,0.48806301,0.00152308,-30.39017,-13.34447,-0.7790184,0.026173,351,343.94,0.1
11.27,8.75,7.35,10.02,9.3475,1.457332752,56,432.44647,-0.256564,113,-0.002743,0.253821,56,7.506,6.529,14.066,14.77,0.417644564,0.983879563,1.017631,4.101253,0.000584,43.94031,0.0677,3244.51676,1.4936,-16.83668,24.84377,1519.15862,987.41176,531.74686,0.00443043,0.01475679,-0.01474482,0.00011017,0.24791413,0.0136207,0.40143871,56.38,43.62,11.10938,18.97378,0.53041175,0.0038241,-40.20209,-14.5321,-0.8985857,0.059266,380,378.67,0.1
11.04,8.46,6.28,7.79,8.3925,1.720426909,68,440.57603,-0.252095,119,-0.012502,0.239594,66,9.854,7.209,13.775,19.438,0.48087675,0.98629998,1.108104,4.736464,0.002508,49.298449,0.4925,3846.02617,1.2837,-41.93159,15.97053,1825.92399,1263.77944,562.14455,0.00150747,0.0113615,-0.02064577,0.0003825,0.0641899,0.0136663,0.38694135,71.99,28.01,10.93293,16.67739,0.50243129,0.00119646,-37.84415,-13.45105,-0.8074797,0.035552,410,407.03,0.1
10.81,8.42,6.14,7.89,8.315,1.669378627,60,380.52398,-0.250795,103,-0.017192,0.233602,60,8.516,6.555,13.641,15.835,0.439482668,0.929720526,0.982756,4.03572,0.003888,49.104848,0.3382,3407.57265,1.2514,-42.36773,20.98968,1592.73622,1105.35716,487.37906,0.00200067,0.01315226,-0.02329072,0.00044324,0.09788341,0.01551566,0.44231127,64.08,35.92,10.82648,15.84885,0.49899024,0.00115114,-37.53712,-13.32817,-0.8059461,0.035156,425,424.37,0.1
8.79,8.67,8.27,8.51,8.56,0.194679223,36,345.17837,-0.292764,89,-0.030499,0.262265,36,8.324,4.337,12.067,16.625,0.503345545,0.998618453,0.423567,1.936838,0.130916,40.070486,22.9941,2465.91766,1.5686,-43.06921,35.88141,1231.46851,773.80346,457.66504,0.00472784,0.02245995,-0.02525297,0.00040287,0.24082033,0.02243904,0.63941186,30.91,69.09,11.49506,16.70359,0.51367674,0.00183494,-37.91526,-13.06605,-0.8946235,0.0348,393,364.65,4.4
8.56,8.58,7.98,6.76,7.97,0.738985791,36,414.06837,-0.299712,105,-0.034439,0.265274,34,8.296,5.343,11.991,16.405,0.48623255,0.988729508,0.501852,2.393234,2.445513,29.95457,224.9772,2737.16894,1.6952,-36.27105,37.27583,1342.13199,726.88518,615.24681,0.0037896,0.022077,-0.0178161,0.00034307,0.24884638,0.01995184,0.54759535,43.95,56.05,11.63704,17.01179,0.5126993,0.00158766,-37.93207,-12.42936,-0.913282,0.027413,389,356.16,4.4
9.97,8.51,7.77,6.25,8.125,1.341072332,36,482.95836,-0.304841,121,-0.037438,0.267402,32,8.283,6.422,11.913,16.215,0.469319826,0.978812025,0.569679,2.921728,0.000155,26.856636,0.0992,3001.43488,1.8031,-31.0198,25.75845,1438.03586,742.58509,695.45076,0.00228956,0.0177172,-0.0141837,0.00024098,0.24967375,0.01601818,0.43560955,60.87,39.13,11.74708,16.3893,0.51379612,0.00114832,-37.98548,-13.72155,-0.9284131,0.021866,385,350.43,4.4
11,8.68,7.93,7.74,8.8375,1.297042308,36,384.23116,-0.307409,97,-0.03786,0.269549,36,7.635,5.086,11.914,15.048,0.469545681,0.98546169,0.470547,2.18169,0.33358,32.665551,23.1861,2376.6188,1.8117,-30.66779,28.01441,1196.8822,681.30056,515.58165,0.005824,0.02278702,-0.0165913,0.00023285,0.24759839,0.01956955,0.54744097,39.08,60.92,11.77599,19.53432,0.56551504,0.00395059,-40.4089,-13.70982,-1.0188145,0.053098,379,345.84,4.4
