SampleName,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var,em,Solvent,dft,SampleName
05a1_WB97XD_Chloroform,11.82,9.87,8.27,10.72,10.17,1.296630248,34,252.26691,-0.23284,67,-0.013951,0.218888,20,6.818,4.188,11.421,13.165,0.457531104,0.965459079,0.433174,1.787805,7.90E-05,21.838079,0.0202,2018.36518,1.4006,-32.8476,19.28357,1030.00979,552.90023,477.10956,-0.0025665,0.0136841,-0.02139857,0.00020708,0.18050553,0.01751484,0.46960066,51.07,48.93,10.49298,17.41263,0.51237191,0.0021489,-38.57099,-13.29736,-0.8227227,0.040166,596,4.4,554,05a1_WB97XD_Chloroform
05ANGEW-01_WB97XD_Cyclohexane,7.01,7.57,7.05,9.81,7.86,1.147301181,62,352.55694,-0.217242,97,0.024808,0.24205,37,7.229,6.392,13.689,14.233,0.414786967,0.984437682,1.053191,3.96639,2.10E-05,12.823278,0.0038,3365.99707,1.1737,-28.9171,9.72608,1532.0028,1005.33384,526.66896,-0.00089823,0.00632803,-0.0146921,0.00019213,0.06719511,0.00951583,0.25043753,86.77,13.23,10.10305,15.64972,0.48990235,0.00126031,-31.48205,-13.96322,-0.7791742,0.028773,439,0.1,411.67,05ANGEW-01_WB97XD_Cyclohexane
05ANGEW-02_WB97XD_Cyclohexane,9.05,8.05,8.21,11.31,9.155,1.300874706,50,296.45047,-0.225107,81,0.010218,0.235325,37,7.229,6.384,12.037,14.367,0.438178602,0.993705907,0.975284,4.064473,7.40E-05,14.964266,0.0042,2768.43482,1.2,-25.21854,13.03426,1275.25831,840.63162,434.6267,-0.00034893,0.00821807,-0.01691877,0.00015778,0.10877253,0.01129682,0.30431566,80.97,19.03,9.87521,15.77206,0.48646747,0.00183961,-31.39985,-13.36734,-0.7853745,0.026179,469,0.1,442.4,05ANGEW-02_WB97XD_Cyclohexane
05ANGEW-03_WB97XD_Cyclohexane,9.51,8.22,7.3,9.11,8.535,0.852305696,56,432.44647,-0.240667,113,-0.019726,0.220941,56,7.576,6.413,14.263,14.856,0.418101993,0.980464625,0.979707,4.02122,0.000119,49.651907,0.0055,3238.27918,1.4965,-18.6022,27.76875,1521.37443,969.0121,552.36232,0.00472566,0.01664923,-0.01619192,0.00012583,0.2453272,0.01536278,0.44853058,47.11,52.89,10.82383,18.89159,0.52926612,0.00382767,-40.32631,-14.70456,-0.9041116,0.058262,523,0.1,498.15,05ANGEW-03_WB97XD_Cyclohexane
05ANGEW-04_WB97XD_Cyclohexane,7.96,7.89,6.25,7.36,7.365,0.684269684,68,440.57603,-0.236644,119,-0.027919,0.208725,66,9.84,6.84,13.846,19.496,0.485192375,0.990650407,1.019075,4.401524,0.000236,53.662869,0.0842,3838.38211,1.2862,-42.82245,19.15397,1826.48528,1262.39069,564.09459,0.00195482,0.01248144,-0.02160275,0.00039901,0.06916458,0.01459047,0.41629272,66.03,33.97,10.72778,16.63982,0.50156112,0.00130947,-37.90159,-13.48819,-0.812064,0.035493,566,0.1,537.88,05ANGEW-04_WB97XD_Cyclohexane
05ANGEW-05_WB97XD_Cyclohexane,7.8,7.82,6.11,7.41,7.285,0.697800115,60,380.52398,-0.235977,103,-0.031548,0.204429,60,8.529,6.413,13.761,15.767,0.438691188,0.924317036,0.933168,3.999989,0.001007,50.003004,0.1105,3399.8191,1.2542,-43.50586,23.26938,1593.77671,1100.50613,493.27058,0.00209655,0.01370711,-0.02380706,0.00046281,0.09602194,0.01607786,0.4580498,59.41,40.59,10.60782,15.90895,0.49778501,0.00127628,-37.65694,-13.41752,-0.8120349,0.035129,656,0.1,559.53,05ANGEW-05_WB97XD_Cyclohexane
05ANGEW_1_WB97XD_Chloroform,8.9,8.47,8.21,8.2,8.445,0.284121453,36,345.17837,-0.281745,89,-0.044175,0.23757,36,8.315,4.258,12.081,16.603,0.504007043,0.998376428,0.419673,1.857778,0.0774,40.210333,8.8993,2466.56081,1.5682,-42.23096,30.20837,1231.6998,773.16007,458.53972,0.00468933,0.02223657,-0.0248977,0.00037315,0.23609297,0.02218499,0.63204591,30.38,69.62,11.37481,16.74153,0.51348124,0.00181661,-37.85189,-13.09362,-0.8944054,0.035031,482,4.4,451.9,05ANGEW_1_WB97XD_Chloroform
05ANGEW_2_WB97XD_Chloroform,8.09,8.36,7.95,6.68,7.77,0.646335826,36,414.06837,-0.288748,105,-0.048446,0.240303,34,8.263,5.66,11.996,16.402,0.481590228,0.992496672,0.536189,2.673665,1.95921,33.162453,186.7425,2739.65697,1.6936,-36.12556,35.71577,1348.13412,727.93321,620.20091,0.00397093,0.02236674,-0.01762034,0.00033352,0.24949435,0.02002502,0.54921255,44.16,55.84,11.52196,16.85816,0.5121098,0.00159138,-37.8195,-12.52865,-0.9120903,0.027444,478,4.4,439.31,05ANGEW_2_WB97XD_Chloroform
05ANGEW_3_WB97XD_Chloroform,8.54,8.26,7.84,6.37,7.7525,0.836163112,36,482.95836,-0.292674,121,-0.05069,0.241985,32,8.271,6.424,11.87,16.193,0.469539247,0.978902188,0.57014,2.924359,0.000824,28.240306,0.0135,2998.57158,1.8048,-30.79123,25.61124,1430.28927,729.37009,700.91919,0.00211727,0.01809667,-0.01451075,0.00025208,0.24999652,0.01636557,0.44461704,60.17,39.83,11.61686,16.39438,0.51336785,0.00116526,-37.88479,-13.64367,-0.928553,0.022409,579,4.4,432.15,05ANGEW_3_WB97XD_Chloroform
05ANGEW_4_WB97XD_Chloroform,9.38,8.42,7.94,7.69,8.3575,0.646002128,36,384.23116,-0.295618,97,-0.051795,0.243823,36,7.624,5.087,11.86,15.021,0.469876126,0.985112802,0.468763,2.167117,0.189093,34.164248,8.8318,2376.91235,1.8114,-30.33953,27.95162,1195.32569,666.67437,528.65132,0.00543787,0.02312052,-0.01686145,0.00023839,0.24983704,0.01994264,0.55381566,41.07,58.93,11.65409,19.55116,0.5651167,0.00399994,-40.4363,-13.62712,-1.0182697,0.053866,584,4.4,426.31,05ANGEW_4_WB97XD_Chloroform
